mz,diff,reference,formula,formula_isotopefree,formula_ion,homseries,totalc,H.C,O.C,C,H,O,N,S,P,Cl,Na,C13
869.1999605,0.7309431,870.2066009,C_37 H_42 O_24,C37H42O24,C_37 H_41 O_24,376,37,1.135,0.649,37,42,24,0,0,0,0,0,0
869.215068,0.560127,870.221857,C_41 H_42 O_21,C41H42O21,C_41 H_41 O_21,237,41,1.024,0.512,41,42,21,0,0,0,0,0,0
869.2356989,0.0125103,870.2429862,C_38 H_46 O_23,C38H46O23,C_38 H_45 O_23,379,38,1.211,0.605,38,46,23,0,0,0,0,0,0
869.2877106,0.4128692,870.2946278,C_43 H_50 O_19,C43H50O19,C_43 H_49 O_19,278,43,1.163,0.442,43,50,19,0,0,0,0,0,0
869.309177,0.8002043,870.315757,C_40 H_54 O_21,C40H54O21,C_40 H_53 O_21,354,40,1.35,0.525,40,54,21,0,0,0,0,0,0
869.3241785,0.5075871,870.3310131,C_44 H_54 O_18,C44H54O18,C_44 H_53 O_18,291,44,1.227,0.409,44,54,18,0,0,0,0,0,0
869.3601133,0.0101291,870.3673985,C_45 H_58 O_17,C45H58O17,C_45 H_57 O_17,328,45,1.289,0.378,45,58,17,0,0,0,0,0,0
870.1827736,0.527102,871.1895909,C_63 H_25 O_3 N_3,C63H25N3O3,C_63 H_24 O_3 N_3,4,63,0.397,0.048,63,25,3,3,0,0,0,0,0
871.0844906,0.227515,872.0919655,C_37 H_28 O_25,C37H28O25,C_37 H_27 O_25,209,37,0.757,0.676,37,28,25,0,0,0,0,0,0
871.1172001,0.1702223,872.1243281,C_33 H_32 O_26 N_2,C33H32N2O26,C_33 H_31 O_26 N_2,64,33,0.97,0.788,33,32,26,2,0,0,0,0,0
871.1216013,0.6040862,872.1283509,C_38 H_32 O_24,C38H32O24,C_38 H_31 O_24,229,38,0.842,0.632,38,32,24,0,0,0,0,0,0
871.1427235,0.5960236,872.1494801,C_35 H_36 O_26,C35H36O26,C_35 H_35 O_26,376,35,1.029,0.743,35,36,26,0,0,0,0,0,0
871.1577959,0.3853158,872.1647362,C_39 H_36 O_23,C39H36O23,C_39 H_35 O_23,237,39,0.923,0.59,39,36,23,0,0,0,0,0,0
871.1941774,0.3809051,872.2011216,C_40 H_40 O_22,C40H40O22,C_40 H_39 O_22,270,40,1,0.55,40,40,22,0,0,0,0,0,0
871.2300442,0.2136242,872.237507,C_41 H_44 O_21,C41H44O21,C_41 H_43 O_21,278,41,1.073,0.512,41,44,21,0,0,0,0,0,0
871.2661252,0.5626607,872.2738924,C_42 H_48 O_20,C42H48O20,C_42 H_47 O_20,291,42,1.143,0.476,42,48,20,0,0,0,0,0,0
871.3027452,0.2935963,872.3102778,C_43 H_52 O_19,C43H52O19,C_43 H_51 O_19,328,43,1.209,0.442,43,52,19,0,0,0,0,0,0
871.3397426,0.4079798,872.3466631,C_44 H_56 O_18,C44H56O18,C_44 H_55 O_18,340,44,1.273,0.409,44,56,18,0,0,0,0,0,0
873.1003126,0.0302388,874.1076155,C_37 H_30 O_25,C37H30O25,C_37 H_29 O_25,237,37,0.811,0.676,37,30,25,0,0,0,0,0,0
873.1148694,0.2436193,874.1223588,C_54 H_22 O_11 N_2,C54H22N2O11,C_54 H_21 O_11 N_2,11,54,0.407,0.204,54,22,11,2,0,0,0,0,0
