watershed,duplicate,sample_id,ftms_name,treatment,date,trip,IC,TOC.mgL,TN.mgL,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,SUVA,burn_mean,burn_sd,temp,do2_mg_l,cond_us_cm,ph,orp_mv,GFE,NOSC,AI_Mod,DBE_1,h.c.wtavg,o.c.wtavg,transformations,bc
rb01,no,HOTW_0003,Sample3_erin_mass_listhotw_0003_5ppm_8m_000002.csv,burn,6/6/2023,june,2.427,19.65,0.4991,1.06058644,12.91473092,0.928133716,0.376458119,310.3033352,190.4373519,3.963773973,0.011613652,0.01506524,0.770890618,2.59615229,2.151131825,1.97971116,7.142733244,5.804192201,2.458675445,0.447050909,6.858169272,299.0340721,197.1052781,18.4,8.03,15.8,6.58,191,60.95584618,-0.023012147,0.340379318,11.95871297,1.061033422,0.51488469,472,0.023044087
rb05,no,HOTW_0027,Sample30_erin_mass_listhotw_0027_5ppm_8m_000001.csv,burn,7/21/2023,july,4.791,26.71,0.5178,1.270696204,18.6035275,0.948988773,0.384104811,176.6546974,109.0989871,3.930360889,0.011316736,0.015165215,0.746229834,3.49100237,3.350264484,2.168955008,3.947411612,0.839964124,0.985129755,0.241556239,2.872338461,242.6826546,222.078259,15.9,7.14,31.5,6.47,84.9,62.57956257,-0.079984652,0.321001468,11.73465051,1.095032703,0.503240777,400,0.019921488
rb06,no,HOTW_0029,Sample32_erin_mass_listhotw_0029_5ppm_8m_000001.csv,burn,7/19/2023,july,2.809,37.18,0.6885,1.138960873,24.82459809,0.961277229,0.380431363,203.0818497,120.1436568,4.600460309,0.012544616,0.017153891,0.731298595,4.797639152,4.193754364,3.340772867,5.367635826,0.933919453,1.034033212,0.133068146,2.37217124,305.6160965,179.1456796,12.1,10.92,28.1,7.01,377.5,63.4861618,-0.111795151,0.308995216,11.64874266,1.115418472,0.497397804,333,0.018527557
rb07,no,HOTW_0030,Sample33_erin_mass_listhotw_0030_5ppm_8m_000001.csv,burn,7/20/2023,july,7.115,19.74,0.4703,1.245310341,18.69582027,0.949227806,0.367621945,248.7672287,149.46467,4.379285749,0.012012627,0.016684006,0.720008541,2.925207611,2.537851057,2.234548249,4.31582555,3.859678584,0.861377331,0.225085668,5.473061535,418.1998889,133.6364084,10.4,11.9,46.8,7.3,225.8,59.71924866,0.02037724,0.346014489,11.99574101,1.044674177,0.52772077,358,0.025114196
rb08,no,HOTW_0031,Sample34_erin_mass_listhotw_0031_5ppm_8m_000001.csv,burn,7/22/2023,july,2.988,51.76,0.8953,1.064864527,18.87979378,0.949697667,0.368169365,333.4153813,203.1254247,4.321385179,0.011689238,0.016938939,0.690080901,4.721210781,3.645835837,3.787341,10.26002204,4.748181043,2.122335575,0.326037221,2.797535941,352.1213267,183.0486719,13,7.32,23.5,4.98,215.9,62.84400986,-0.089263504,0.321008943,12.09583575,1.09508825,0.499258081,312,0.021602378
rb09,no,HOTW_0032,Sample35_erin_mass_listhotw_0032_5ppm_8m_000001.csv,burn,7/22/2023,july,2.634,42.58,0.7976,1.248332548,7.185634242,0.877834757,0.394984814,235.0359997,135.516498,4.822333096,0.013308343,0.017918785,0.742703407,5.738893953,4.091216546,3.415557701,8.17897725,8.416878428,13.65301662,1.941684646,2.397248419,367.6752802,145.1677841,19.1,2.44,34.3,5.66,166.8,61.39018735,-0.038252188,0.335136018,12.2080497,1.068267904,0.510342007,357,0.022086386
rb10,no,HOTW_0033,Sample36_erin_mass_listhotw_0033_5ppm_8m_000001.csv,burn,7/21/2023,july,4.023,26.81,0.6011,1.159909404,14.2392481,0.934379965,0.400729074,167.3367796,97.63113018,4.58861614,0.012867837,0.016766229,0.767485476,3.407157633,3.326002995,2.262488376,3.916659974,3.491310707,1.771806174,0.394909404,2.710684073,334.7992311,156.4059124,16.3,6.06,23,6.06,206.7,62.66601978,-0.083018238,0.32148373,11.866202,1.094598573,0.501331811,349,0.020029429
rb01,no,HOTW_0045,Sample48_erin_mass_listhotw_0045_5ppm_8m_000001.csv,burn,8/29/2023,august,1.484,46.9,0.6639,1.288037098,18.86636946,0.949663677,0.34888423,277.3518277,168.710188,4.243048651,0.011835005,0.016151414,0.732753505,4.787392599,3.995737553,3.20081615,8.74582076,2.16579032,1.317509601,0.418862968,2.568280774,299.0340721,197.1052781,15.5,8.67,24.9,6.08,150.6,60.07869465,0.0077651,0.329316717,12.0042258,1.064230445,0.531846761,325,0.02315312
rb02,no,HOTW_0046,Sample49_erin_mass_listhotw_0046_5ppm_8m_000001.csv,burn,8/31/2023,august,4.119,50.92,0.7937,1.180709581,19.93888657,0.952241969,0.375434503,316.4841259,192.6490241,4.26431873,0.011785576,0.016399197,0.718667891,4.951323913,4.024965863,3.550257769,9.525593158,1.074901412,1.276386089,0.47860989,2.699279448,331.1192739,177.632105,12.1,4.06,25,5.92,138.5,62.20719166,-0.066919006,0.324297767,11.95774757,1.087108824,0.505628648,407,0.021087735
rb03,no,HOTW_0047,Sample50_erin_mass_listhotw_0047_5ppm_8m_000001.csv,burn,8/31/2023,august,4.784,55.89,0.9532,1.189134202,18.74109062,0.949344237,0.377142228,342.7951828,209.1631653,4.250428273,0.011760554,0.01627705,0.722523668,4.975801916,3.99691342,3.690366461,13.06638004,3.06478982,1.327189621,0.71854017,2.663697554,348.1801207,168.1537215,12.6,5.54,26,5.39,211.1,62.66413077,-0.082951957,0.319892595,12.06533573,1.095008868,0.502020175,307,0.022086075
